CANT;CUENCA;P 80;X;Y;porcentaje
1;4;26020460;-76.40466667;2.48758333;0.445430369
1;4;26020130;-76.41880556;2.54183333;0.554569631
2;15;26050060;-76.69611111;2.95455556;1
3;17;21050060;-75.97227778;2.19905556;0.129064822
3;17;21050090;-75.8065;2.55144444;0.870935178
4;24;26130020;-75.55805556;4.84416667;1
5;27;22020050;-75.6045;3.39522222;1
6;28;22020050;-75.6045;3.39522222;1
7;30;22020050;-75.6045;3.39522222;1
8;36;22060110;-75.42355556;3.71772222;1
9;42;35070100;-73.43305556;4.98347222;1
10;44;21160160;-74.79972222;3.62055556;0.55383863
10;44;21160170;-74.79083333;3.70933333;0.44616137
11;46;21190350;-74.35975;4.15247222;1
12;51;21210200;-75.07344444;4.33513889;1
13;65;23050100;-74.72608333;5.73075;0.340302111
13;65;23040070;-74.94197222;5.32841667;0.659697889
14;69;24020130;-73.05611111;6.59825;0.145190067
14;69;24020080;-73.14277778;6.44111111;0.738270619
14;69;24020120;-73.04472222;6.29944444;0.116539314
15;72;23160010;-73.94416667;7.08944444;0.60514423
15;72;24050060;-73.41083333;6.87277778;0.39485577
16;75;24060050;-73.09277778;6.75916667;0.201868925
16;75;24050060;-73.41083333;6.87277778;0.288144268
16;75;23160010;-73.94416667;7.08944444;0.509986808
17;86;21010230;-76.30425;1.90580556;0.489694367
17;86;21010140;-76.36083333;1.86438889;0.510305633
18;87;23100030;-74.78566667;6.84047222;1
19;89;24010850;-73.38383333;5.868;0.153550724
19;89;24010810;-73.54891667;5.75080556;0.846449276
20;93;23180070;-73.48944444;7.39;0.442907419
20;93;23190380;-73.21788889;7.21108333;0.264548213
20;93;23190360;-73.165;7.32805556;0.292544368
21;103;26020030;-76.53611111;2.64269444;1
22;140;35180010;-72.66588889;4.93736111;1
23;146;35010090;-73.70083333;3.75027778;1
24;154;16030080;-72.8325;7.95027778;0.774939804
24;154;16030140;-72.69361111;8.34277778;0.225060196
25;155;16050100;-72.69361111;8.34277778;1
26;166;16020010;-72.79944444;7.89194444;1
27;167;16020080;-72.77277778;7.53416667;1
28;179;12010030;-76.7;7.57;1
29;197;54020080;-76.82694444;4.93222222;1
30;243;52010040;-76.73775;2.26238889;0.283441814
30;243;52020010;-77.00305556;2.04638889;0.716558186
31;245;52030060;-77.01497222;1.66563889;1
32;246;52040060;-77.17405556;1.28730556;1
33;252;52060050;-77.77583333;1.40472222;1
34;260;44010100;-76.58419444;1.2805;0.371324726
34;260;44010090;-76.58419444;1.2805;0.371324726
34;260;44010030;-76.68083333;1.2025;0.257350547
35;262;47010180;-76.845;1.14541667;0.330520665
35;262;47010050;-76.93025;1.13405556;0.293905628
35;262;47010030;-76.48022222;0.47361111;0.375573708
36;295;32070040;-73.63;2.98;0.508816871
36;295;32070100;-73.89194444;3.37508333;0.204533856
36;295;32070010;-73.75;3.2;0.286649274
37;299;23060260;-74.38202778;5.06463889;0.321579077
37;299;23060180;-74.2945;5.25344444;0.392668995
37;299;23060290;-74.41205556;4.97316667;0.285751928
38;303;52050040;-77.47919444;1.32225;0.487987369
38;303;52050140;-77.52611111;1.34805556;0.512012631
39;CUENCA RIO META - 1;35010010;-72.9365;4.10502778;0.2984
39;CUENCA RIO META - 1;35050010;-73.34999722;4.51;0.3361
39;CUENCA RIO META - 1;35020060;-73.368;4.03975;0.2219
39;CUENCA RIO META - 1;35030030;-74.14686111;4.21888889;0.1436
40;CUENCA   RIO META - 2;35010010;-72.9365;4.10502778;0.2525
40;CUENCA   RIO META - 2;35050010;-73.34999722;4.51;0.1491
40;CUENCA   RIO META - 2;35020060;-73.368;4.03975;0.1448
40;CUENCA   RIO META - 2;35030030;-74.14686111;4.21888889;0.0833
40;CUENCA   RIO META - 2;35180010;-72.66588889;4.93736111;0.2109
40;CUENCA   RIO META - 2;35070170;-73.2;4.73333333;0.1595
41;CUENCA   RIO META - 3;35010010;-72.9365;4.10502778;0.1413
41;CUENCA   RIO META - 3;35050010;-73.34999722;4.51;0.1340
41;CUENCA   RIO META - 3;35020060;-73.368;4.03975;0.1264
41;CUENCA   RIO META - 3;35030030;-74.14686111;4.21888889;0.1087
41;CUENCA   RIO META - 3;35180010;-72.66588889;4.93736111;0.1714
41;CUENCA   RIO META - 3;35070170;-73.2;4.73333333;0.1427
41;CUENCA   RIO META - 3;35197180;-72.70194444;5.30294444;0.1755
42;CUENCA   RIO VAUPES;42050020;-70.73;1.1;0.2210
42;CUENCA   RIO VAUPES;42070010;-70.71;1.21;0.2533
42;CUENCA   RIO VAUPES;42070020;-70.29;1.31;0.5257
43;CUENCA   RIO ATRATO -1;11010010;-76.54472222;5.45894444;0.2050
43;CUENCA   RIO ATRATO -1;11035020;-76.74972222;5.62616667;0.3242
43;CUENCA   RIO ATRATO -1;11040010;-76.53780556;5.74361111;0.4708
44;CUENCA  RIO ATRATO - 2;11010010;-76.54472222;5.45894444;0.1122
44;CUENCA  RIO ATRATO - 2;11035020;-76.74972222;5.62616667;0.1362
44;CUENCA  RIO ATRATO - 2;11040010;-76.53780556;5.74361111;0.1449
44;CUENCA  RIO ATRATO - 2;11050060;-76.91563889;6.10833333;0.2751
44;CUENCA  RIO ATRATO - 2;11050010;-76.72702778;6.22177778;0.3317
45;CUENCA   RIO GUAVIARE -1;32010010;-74.10308333;2.56283333;1.0000
46;CUENCA RIO GUAVIARE -2;32010010;-74.10308333;2.56283333;0.1618
46;CUENCA RIO GUAVIARE -2;32070060;-73.63333333;3.46666667;0.1868
46;CUENCA RIO GUAVIARE -2;32080010;-73.21;2.94;0.4200
46;CUENCA RIO GUAVIARE -2;32070020;-73.51666667;3.25;0.2315
47;CUENCA RIO GUAVIARE - 3;32010010;-74.10308333;2.56283333;0.2181
47;CUENCA RIO GUAVIARE - 3;32070060;-73.63333333;3.46666667;0.2507
47;CUENCA RIO GUAVIARE - 3;32080010;-73.21;2.94;0.2743
